time;x;y;z
1637978221.52772;+0.002;-0.002;-0.003
1637978221.747802;+0.002;-0.001;-0.001
1637978221.96769;+0.002;-0.001;-0.002
1637978222.187843;+0.002;-0.002;-0.002
1637978222.407758;+0.002;-0.001;-0.002
1637978222.62774;+0.002;-0.002;-0.002
1637978222.847643;+0.003;-0.002;-0.002
1637978223.067641;+0.002;-0.002;-0.001
1637978223.28742;+0.003;-0.002;-0.001
1637978223.507765;+0.003;-0.002;-0.002
1637978223.727741;+0.003;-0.002;-0.001
1637978223.947779;+0.002;-0.002;-0.003
1637978224.167718;+0.001;-0.001;-0.001
1637978224.387364;+0.002;-0.001;-0.002
1637978224.607342;+0.003;-0.002;-0.002
1637978224.827745;+0.003;-0.001;-0.002
1637978225.046659;+0.002;-0.001;-0.001
1637978225.266776;+0.002;-0.002;-0.002
1637978225.486699;+0.003;-0.001;-0.002
1637978225.707667;+0.003;-0.001;-0.001
1637978225.926644;+0.003;-0.002;-0.002
1637978226.146658;+0.002;-0.002;-0.001
1637978226.366722;+0.002;-0.002;-0.001
1637978226.586307;+0.002;-0.001;-0.002
1637978226.796582;+0.002;-0.001;-0.003
1637978227.016701;+0.003;-0.001;-0.002
1637978227.236835;+0.003;-0.002;-0.002
1637978227.456925;+0.002;-0.002;-0.001
1637978227.676334;+0.002;-0.002;-0.002
1637978227.896675;+0.003;-0.002;-0.002
1637978228.11674;+0.002;-0.002;-0.002
1637978228.336753;+0.002;-0.002;-0.001
1637978228.556258;+0.002;-0.002;-0.001
1637978228.776687;+0.002;-0.002;-0.001
1637978228.996569;+0.003;-0.002;-0.001
1637978229.21672;+0.003;-0.002;-0.002
1637978229.436392;+0.003;-0.003;-0.002
1637978229.656757;+0.003;-0.001;-0.001
1637978229.876739;+0.002;-0.001;-0.002
1637978230.096559;+0.002;-0.001;-0.001
1637978230.316804;+0.003;-0.002;-0.002
1637978230.536466;+0.002;-0.001;-0.002
1637978230.756759;+0.002;-0.001;-0.001
1637978230.976595;+0.002;-0.003;-0.002
1637978231.196547;+0.002;-0.001;-0.002
1637978231.416333;+0.003;-0.002;-0.002
1637978231.636243;+0.002;-0.001;-0.003
1637978231.856566;+0.002;-0.001;-0.001
1637978232.076544;+0.003;-0.001;-0.001
1637978232.295581;+0.003;-0.002;-0.002
1637978232.515666;+0.002;-0.001;-0.002
1637978232.7366;+0.002;-0.001;-0.002
1637978232.955729;+0.002;-0.002;-0.001
1637978233.175527;+0.003;-0.002;-0.002
1637978233.395739;+0.002;-0.003;-0.002
1637978233.615422;+0.003;-0.002;-0.002
1637978233.835575;+0.002;-0.002;-0.002
1637978234.055714;+0.002;-0.002;-0.002
1637978234.275852;+0.002;-0.001;-0.002
1637978234.495752;+0.002;-0.002;-0.002
1637978234.715804;+0.003;-0.002;-0.002
1637978234.935543;+0.002;-0.001;-0.001
1637978235.15556;+0.002;-0.001;-0.002
1637978235.375694;+0.002;-0.001;-0.002
1637978235.595652;+0.004;-0.002;-0.002
1637978235.815598;+0.002;-0.002;-0.002
1637978236.035561;+0.002;-0.003;-0.002
1637978236.255718;+0.001;-0.001;-0.001
1637978236.475269;+0.002;-0.003;-0.002
1637978236.695359;+0.003;-0.002;-0.002
1637978236.915674;+0.001;-0.001;-0.001
1637978237.135681;+0.002;-0.001;-0.001
1637978237.355319;+0.003;-0.002;-0.001
1637978237.575262;+0.002;-0.002;-0.002
1637978237.795273;+0.002;-0.002;-0.002
1637978238.015555;+0.002;-0.002;-0.002
1637978238.235558;+0.002;-0.002;-0.002
1637978238.455702;+0.002;-0.001;-0.002
1637978238.675695;+0.002;-0.002;-0.002
1637978238.89585;+0.002;-0.002;-0.002
1637978239.11551;+0.002;-0.001;-0.002
1637978239.33555;+0.002;-0.002;-0.002
1637978239.555583;+0.003;-0.002;-0.001
1637978239.775651;+0.002;-0.002;-0.002
1637978239.994642;+0.003;-0.002;-0.002
1637978240.214579;+0.003;-0.000;-0.001
1637978240.434662;+0.002;-0.002;-0.001
1637978240.654677;+0.002;-0.002;-0.001
1637978240.874652;+0.002;-0.002;-0.002
1637978241.094551;+0.002;-0.002;-0.002
1637978241.314573;+0.003;-0.002;-0.002
1637978241.534544;+0.002;-0.003;-0.002
1637978241.75446;+0.002;-0.002;-0.001
1637978241.974547;+0.002;-0.002;-0.002
1637978242.194485;+0.003;-0.002;-0.002
1637978242.414707;+0.003;-0.003;-0.002
1637978242.634526;+0.002;-0.002;-0.001
1637978242.854529;+0.002;-0.002;-0.002
1637978243.074536;+0.003;-0.002;-0.002
1637978243.294565;+0.003;-0.001;-0.002
1637978243.514282;+0.002;-0.002;-0.002
1637978243.724684;+0.002;-0.001;-0.003
1637978243.944707;+0.003;-0.002;-0.002
1637978244.164509;+0.003;-0.001;-0.002
1637978244.384474;+0.002;-0.001;-0.001
1637978244.604197;+0.002;-0.002;-0.002
1637978244.824493;+0.003;-0.002;-0.001
1637978245.044669;+0.002;-0.001;-0.001
1637978245.264497;+0.003;-0.002;-0.001
1637978245.484583;+0.002;-0.003;-0.001
1637978245.704513;+0.002;-0.003;-0.002
1637978245.924646;+0.002;-0.002;-0.002
1637978246.14469;+0.002;-0.003;-0.001
1637978246.36448;+0.002;-0.002;-0.002
1637978246.584709;+0.002;-0.002;-0.001
1637978246.804479;+0.003;-0.003;-0.002
1637978247.024492;+0.002;-0.002;-0.002
1637978247.243498;+0.002;-0.001;-0.002
1637978247.463657;+0.002;-0.002;-0.002
1637978247.683685;+0.002;-0.002;-0.002
1637978247.903545;+0.002;-0.002;-0.001
1637978248.123437;+0.003;-0.002;-0.002
1637978248.333558;+0.003;-0.001;-0.001
1637978248.553247;+0.003;-0.002;-0.001
1637978248.763287;+0.003;-0.002;-0.001
1637978248.983526;+0.002;-0.002;-0.002
1637978249.203575;+0.002;-0.001;-0.002
1637978249.423476;+0.002;-0.002;-0.002
1637978249.643513;+0.002;-0.003;-0.002
1637978249.863644;+0.003;-0.001;-0.002
1637978250.083458;+0.003;-0.002;-0.001
1637978250.303627;+0.003;-0.003;-0.002
1637978250.523756;+0.003;-0.001;-0.001
1637978250.74358;+0.002;-0.002;-0.002
1637978250.963561;+0.002;-0.002;-0.001
1637978251.18365;+0.002;-0.001;-0.002
1637978251.403555;+0.001;-0.002;-0.002
1637978251.623546;+0.003;-0.001;-0.002
1637978251.843542;+0.002;-0.001;-0.002
1637978252.063539;+0.002;-0.002;-0.001
1637978252.28358;+0.002;-0.002;-0.001
1637978252.503675;+0.002;-0.002;-0.002
1637978252.723543;+0.002;-0.002;-0.002
1637978252.943552;+0.002;-0.002;-0.002
1637978253.163522;+0.002;-0.003;-0.001
1637978253.393191;+0.003;-0.001;-0.002
1637978253.613527;+0.002;-0.002;-0.002
